judgeId,problemId,sourceCode
8267519,ALDS1_3_A,"stack=[]
for a in input().split(' '):
    if a.isdigit():
        stack.append(int(a))
    else:
        stack.append(eval(str(stack.pop(-2))+a+str(stack.pop(-1))))

print(stack[0])
"
8268038,ALDS1_3_A,"n = input().split()
stack = []
for i in range(len(n)):
    if n[i]==""+"":
        stack.append(int(stack.pop())+int(stack.pop()))
    elif n[i]==""-"":
        stack.append(int(stack.pop(-2))-int(stack.pop()))
    elif n[i]==""*"":
        stack.append(int(stack.pop())*int(stack.pop()))
    else:
        stack.append(n[i])
print(stack[-1])
"
8275995,ALDS1_3_A,"def translate_rpn(symbols):
    stack = []
    for s in symbols:
        if s.isdigit():
            stack.append(int(s))
        else:
            b = stack.pop()
            a = stack.pop()
            if s == ""+"":
                stack.append(a + b)
            elif s == ""-"":
                stack.append(a - b)
            elif s == ""*"":
                stack.append(a * b)
    return stack.pop()


def main():
    symbols = input().split()
    print(translate_rpn(symbols))


if __name__ == ""__main__"":
    main()

"
8301222,ALDS1_3_A,"class CalStack:
    def __init__(self):
        self.stack = []
    def push(self, x):
        self.stack.append(x)
    def pop(self):
        return self.stack.pop()
        
calculator = CalStack()
A = input().split()
for i in range(len(A)):
    if A[i].isnumeric():
        calculator.push(int(A[i]))
    else:
        b = calculator.pop()
        a = calculator.pop()
        if A[i] == ""+"":
            calculator.push(a + b)
        elif A[i] == ""-"":
            calculator.push(a - b)
        elif A[i] == ""*"":
            calculator.push(a * b)

print(calculator.pop())

"
8341716,ALDS1_3_A,"MAX = 101

def initialize():
    global top
    top = 0

def isEmpty():
    return top == 0

def isFull():
    return top >= MAX - 1

def push(x):
    global top
    if isFull():
        print(""エラー（オーバーフロー）"")
    else:
        top += 1
        S[top] = x

def pop():
    global top
    if isEmpty():
        print(""エラー（アンダーフロー）"")
        return None
    else:
        top -= 1
        return S[top + 1]

x = input().split()
S = [0] * (MAX)

initialize()

for i in x:
    if i.isdigit() or (i[0] == '-' and i[1:].isdigit()):
        push(int(i))
    elif i in ['+', '-', '*']:
        a = pop()
        b = pop()
        if i == '+':
            push(b + a)
        elif i == '-':
            push(b - a)
        elif i == '*':
            push(b * a)

print(pop())
"
8375612,ALDS1_3_A,"def poland(n):
    stoke=[]
    for i in n:
        if i==""+"" or i==""-"" or i==""*"":
            y=stoke.pop()
            x=stoke.pop()
            if i==""+"":
                stoke.append(x+y)
            elif i==""-"":
                stoke.append(x-y)
            else:
                stoke.append(x*y)
        else:
            stoke.append(int(i))
    
    print(stoke[0])

n=list(map(str,input().split()))

poland(n)
"
8375983,ALDS1_3_A,"S = input().split()

stack = []

for i in range(len(S)):
    if S[i] == '+':
        operand2 = stack.pop()
        operand1 = stack.pop()
        result = operand1 + operand2
        stack.append(result)
    elif S[i] == '-':
        operand2 = stack.pop()
        operand1 = stack.pop()
        result = operand1 - operand2
        stack.append(result)
    elif S[i] == '*':
        operand2 = stack.pop()
        operand1 = stack.pop()
        result = operand1 * operand2
        stack.append(result)
    else:
        stack.append(int(S[i]))

print(stack[0])
"
8395274,ALDS1_3_A,"class Stack:
    def __init__(self):
        self._items = []

    def push(self, item):
        self._items.append(item)

    def pop(self):
        return self._items.pop()

    def is_empty(self):
        return len(self._items) == 0


polish_not = list(input().split()) 

stack = Stack()

def arithmetic_operations(a, b, operation):
        if operation == ""+"":
            return a + b
        elif operation == ""-"":
            return a - b
        elif operation == ""*"":
            return a * b
        elif operation == ""/"":
            return a / b
        else :
            raise ValueError(""Invalid operation: {}"".format(operation))


while len(polish_not)> 0:
    num = polish_not.pop(0)
    if(num.isnumeric()):
        stack.push(int(num))
    else:
        b = stack.pop()
        a = stack.pop()
        result = arithmetic_operations(a, b, num)
        stack.push(result)

print(stack.pop())
"
8401728,ALDS1_3_A,"sod = input().split()
st=[]
for s in sod:
    if s.isnumeric():
        st.append(int(s))
    else:
        b = st.pop()
        a = st.pop()
        if s == ""+"":
            st.append(a + b)
        if s == ""-"":
            st.append(a - b)
        if s == ""*"":
            st.append(a * b)

print(st.pop())

"
8405315,ALDS1_3_A,"def isint(s):
    try:
        i = int(s)
    except ValueError:
        return False
    else:
        return True

a = input().split()
l = len(a) - 1

while l:
    m, n = l - 1, l - 2
    if a[l] in '+-*' and isint(a[m]) and isint(a[n]):
        if a[l]   == '+': a[l] = str(int(a[n]) + int(a[m]))
        elif a[l] == '-': a[l] = str(int(a[n]) - int(a[m]))
        elif a[l] == '*': a[l] = str(int(a[n]) * int(a[m]))
        del a[n:l]
        l = len(a)
    l -= 1

print(*a)
"
8407548,ALDS1_3_A,"class Stack():
    def __init__(self):
        self.s = [None]
        self.MAX = 100
        self.top = 0
     
    def isEmpty(self):
        return self.top == 0
    
    def isFull(self):
        return self.top >= self.MAX
        
    def push(self, x):
        if self.isFull():
            print(""Stack overflow!"")
        else:
            self.top += 1
            self.s.append(x)
        	
    def pop(self):
        if self.isEmpty():
            print(""Stack underflow!"")
        else:
            self.top -= 1
            return self.s.pop()
        
s = Stack()
input_list = input().split()

for i in range(len(input_list)):
    if input_list[i] != '+' and input_list[i] != '-' and input_list[i] != '*' and input_list[i] != '/':
        s.push(input_list[i])
    elif input_list[i] == '+':
        a = s.pop()
        b = s.pop()
        ans = int(b) + int(a)
        s.push(ans)
    elif input_list[i] == '-':
        a = s.pop()
        b = s.pop()
        ans = int(b) - int(a)
        s.push(ans)
    elif input_list[i] == '*':
        a = s.pop()
        b = s.pop()
        ans = int(b) * int(a)
        s.push(ans)
    elif input_list[i] == '/':
        a = s.pop()
        b = s.pop()
        ans = int(b) / int(a)
        s.push(ans)
        
print(int(s.pop()))
        
"
8410965,ALDS1_3_A,"def is_op(arg : str) -> bool:
    length = len(arg)
    if length > 1:
        return False
    if arg[0] == '+' or arg[0] == '-' or arg[0] == '*':
        return True
    else:
        return False

def do_op(arg : str, a : int, b : int) -> int:
    if arg[0] == '+':
        return a + b
    if arg[0] == '-':
        return a - b
    if arg[0] == '*':
        return a * b
    return -1

args = input().split()
stack = []
for arg in args:
    # print(type(arg))
    if is_op(arg):
        b = stack.pop(-1)
        a = stack.pop(-1)
        res = do_op(arg, a, b)
        stack.append(res)
    else:
        stack.append(int(arg))
    # print(*stack)
print(stack[0])
"
8411226,ALDS1_3_A,"from collections import deque

operator = ['+', '-', '*']
A = list(input().split())
stack = deque()
for a in A:
    if a not in operator:
        stack.append(int(a))
    elif a == '+':
        x = stack.pop()
        y = stack.pop()
        z = x+y
        stack.append(z)
    elif a == '-':
        y = stack.pop()
        x = stack.pop()
        z = x-y
        stack.append(z)
    elif a == '*':
        x = stack.pop()
        y = stack.pop()
        z = x*y
        stack.append(z)
print(stack.pop())
"
8411392,ALDS1_3_A,"s =[]

for i in input().split():
    if i == ""+"":
        a = s.pop()
        b = s.pop()
        s.append(a+b)
    elif i == ""-"":
        b = s.pop()
        a = s.pop()
        s.append(a-b)
    elif i == ""*"":
        a = s.pop()
        b = s.pop()
        s.append(a*b)
    else:
        s.append(int(i))
        
print(s.pop())
"
8411884,ALDS1_3_A,"class Stack:
    def __init__(self, size):
        self.arr = [None] * size
        self.capacity = size
        self.top = 0
    
    def isEmpty(self):
        return self.top == 0
    
    def isFull(self):
        return self.top == self.capacity
    
    def push(self, value):
        if self.isFull():
            raise Exception(""オーバフロー"")
        else:
            self.top += 1
            self.arr[self.top] = value
            
    def pop(self):
        if self.isEmpty():
            raise Exception(""アンダーフロー"")
        else:
            value = self.arr[self.top]
            self.arr[self.top] = None
            self.top -= 1
            return value
            
def main():
    operands = input().split()
    stack = Stack(101)
    
    for operand in operands:
        try: 
            operand = int(operand)
            stack.push(operand)
        except:
            right_operator = stack.pop()
            left_operator = stack.pop()
            
            if operand == ""+"":
                ans = left_operator + right_operator
                stack.push(ans)
            elif operand == ""-"":
                ans = left_operator - right_operator
                stack.push(ans)
            elif operand == ""*"":
                ans = left_operator * right_operator
                stack.push(ans)
    ans = stack.pop()
    print(ans)

if __name__ == ""__main__"":
    main()

            
"
