judgeId,problemId,problemName,sourceCode
9003520,3292,Serial Number,"ans = []
while 1:
    n = int(input())
    if n == 0:
        break
    al = list(map(int, input().split()))
    al.sort()
    tmp = 1
    res = tmp
    bef = al[0]
    for a in al[1:]:
        if bef + 1 == a:
            tmp += 1
        else:
            res = max(res, tmp)
            tmp = 1
        bef = a
    res = max(res, tmp)
    ans.append(res)
for an in ans:
    print(an)"
9159482,3292,Serial Number,"while True:
    N = int(input())
    if N == 0:
        break
    A = list(map(int, input().split()))
    A.sort()
    cnt = 0
    tmp = 1
    for i in range(1, N):
        if A[i]-A[i-1] == 1:
            tmp += 1
        else:
            cnt = max(tmp, cnt)
            tmp = 1
    cnt = max(tmp, cnt)
    print(cnt)"
9191875,3292,Serial Number,"def sovle():
  N = int(input())
  if N==0:
    exit()
  A = [int(i) for i in input().split()]
  A.sort()
  ans = 1
  memo = 0
  l = -100
  for a in A:
    if a==l+1:
      memo += 1
    else:
      ans = max(ans, memo)
      memo = 1
    l = a
  ans = max(ans, memo)
  print(ans)
while True:
  sovle()"
9227978,3292,Serial Number,"while 1:
    n = int(input())
    if n==0: break
    a = list(map(int, input().split()))
    a.sort()
    ans = 1
    tmp = 1
    for i in range(1, n):
        if a[i]==a[i-1]+1:
            tmp += 1
        else:
            tmp = 1
        ans = max(ans, tmp)
    print(ans)"
9229734,3292,Serial Number,"ans = []
while True:
    n = int(input())
    if n == 0:
        break
    l = list(map(int, input().split()))
    l.sort()
    a = 1
    r = 1
    for i in range(1, n):
        if l[i] - l[i - 1] == 1:
            a += 1
        else:
            a = 1
        r = max(r, a)
    ans.append(r)
for i in ans:
    print(i)"
9236404,3292,Serial Number,"while 1:
    n = int(input())
    if n == 0:
        break
    a = list(map(int, input().split()))
    a.sort()
    x_max = 1
    x_current = 1
    for i in range(n):
        if a[i - 1] - a[i] == -1:
            x_current += 1
            x_max = max(x_max, x_current)
        else:
            x_current = 1
    print(x_max)"
6974990,3292,Serial Number,"while True:
    n = int(input())
    if n == 0:break
    else:
        numbers = sorted(list(map(int,input().split())))
        count,maxcount = 0,0
        for i in range(0,n - 1):
            if numbers[i + 1] - numbers[i] == 1:
                count += 1
            else:
                maxcount = max(maxcount,count)
                count = 0
        maxcount = max(maxcount,count)
        print(maxcount + 1)"
7161293,3292,Serial Number,"while True:
    n = int(input())
    if n == 0:
        break
    A = list(map(int, input().split()))
    A.sort()
    ans = 1
    res = 1
    for i in range(1, n):
        if A[i - 1] + 1 == A[i]:
            res += 1
            ans = max(ans, res)
        else:
            ans = max(ans, res)
            res = 1
    print(ans)"
6813278,3292,Serial Number,"while True:
    n = int(input())
    if n == 0:
        break
    else:
        A = sorted(map(int, input().split()))
        ans = 1
        ans_i = 1
        for i in range(1, n):
            if A[i - 1] + 1 == A[i]:
                ans_i += 1
            else:
                ans_i = 1
            ans = max(ans, ans_i)
        print(ans)"
6835242,3292,Serial Number,"while(True):
    max_counter = 1
    my_len = int(input())
    if my_len == False:
        break
    my_list = sorted(list(map(int, input().split("" ""))))
    counter = 1
    temp = my_list[0]
    for i in range(1, my_len):
        if my_list[i] - temp == 1:
            counter += 1
            max_counter = counter if max_counter < counter else max_counter
        else:
            counter = 1
        temp = my_list[i]
    print(max_counter)"
7092560,3292,Serial Number,"while True:
    n=int(input())
    if n==0:
        break
    else:
        a=list(map(int,input().split()))
        a.sort()
        cnt=1
        incl=[1]
        for i in range(1,n):
             if a[i]-a[i-1]==1:
                 cnt+=1
             else:
                 incl.append(cnt)
                 cnt=1
             if i==n-1:
                 incl.append(cnt)
        print(max(incl))"
7640474,3292,Serial Number,"while True:
    n = int(input())
    if n == 0:
        break
    a = list(map(int, input().split()))
    count = 1
    max_count = 1
    a.sort()
    for i in range(1, n):
        if a[i] == a[i-1] + 1:
            count += 1
            max_count = max(max_count, count)
        else:
            count = 1
    print(max_count)"
